Open,High,Low,Close,Adj Close,Volume,Date
48.8,48.95,47.25,47.3,42.972,6300000,2021-09-08
46.0,48.9,46.0,48.9,44.425,4547000,2021-09-09
49.3,49.5,48.55,49.2,44.698,3566000,2021-09-10
49.35,50.5,48.7,49.8,45.243,9656000,2021-09-13
50.9,51.8,49.25,51.8,47.06,24620000,2021-09-14
51.9,51.9,50.1,51.0,46.333,23585000,2021-09-15
51.1,52.5,50.5,51.9,47.151,25495000,2021-09-16
51.8,53.6,51.5,51.5,46.787,44920000,2021-09-17
49.9,51.0,49.4,49.9,45.334,17114000,2021-09-22
51.0,52.0,50.2,50.3,45.697,15983000,2021-09-23
50.8,51.2,49.85,51.0,46.333,10806000,2021-09-24
51.0,51.1,50.2,51.1,46.424,7383000,2021-09-27
51.0,51.4,50.4,50.5,45.879,7429000,2021-09-28
49.65,50.0,48.6,49.0,44.516,9784000,2021-09-29
49.1,51.4,49.05,51.2,46.515,12468000,2021-09-30
50.8,51.5,49.85,50.0,45.424,12074000,2021-10-01
51.2,52.3,49.6,49.9,45.334,26719000,2021-10-04
49.85,51.3,48.8,51.3,46.605,10901000,2021-10-05
51.3,52.4,50.6,52.2,47.423,25169000,2021-10-06
52.5,52.8,51.4,52.7,47.877,26472000,2021-10-07
53.0,53.0,51.4,51.6,46.878,14665000,2021-10-08
51.1,51.2,49.5,49.85,45.288,14692000,2021-10-12
49.95,50.4,49.1,49.2,44.698,7933000,2021-10-13
50.1,50.3,49.1,49.4,44.879,5046000,2021-10-14
50.5,50.6,49.75,49.95,45.379,6445000,2021-10-15
50.3,51.8,50.0,51.4,46.696,10003000,2021-10-18
51.4,52.0,50.9,51.7,46.969,6447000,2021-10-19
51.7,52.8,51.6,52.5,47.696,14199000,2021-10-20
52.5,52.7,51.2,51.2,46.515,10751000,2021-10-21
51.2,52.2,50.8,52.1,47.332,7364000,2021-10-22
51.9,51.9,50.5,51.0,46.333,9531000,2021-10-25
51.3,51.5,50.3,50.4,45.788,7023000,2021-10-26
50.6,50.8,50.1,50.6,45.97,4310000,2021-10-27
50.7,51.0,50.0,50.1,45.515,5455000,2021-10-28
50.5,50.6,49.7,50.0,45.424,5523000,2021-10-29
50.9,55.0,50.8,55.0,49.967,51623000,2021-11-01
55.4,56.1,52.5,52.8,47.968,38039000,2021-11-02
52.8,54.4,52.3,52.7,47.877,13961000,2021-11-03
52.9,53.7,52.5,53.0,48.15,8373000,2021-11-04
53.8,55.0,53.3,54.7,49.694,23118000,2021-11-05
54.0,54.4,50.2,51.0,46.333,35158000,2021-11-08
50.3,51.4,50.0,51.4,46.696,15888000,2021-11-09
51.2,52.4,50.8,52.3,47.514,12358000,2021-11-10
52.1,53.5,51.9,53.0,48.15,14036000,2021-11-11
53.0,54.3,52.4,54.1,49.149,16955000,2021-11-12
55.0,58.9,54.5,56.7,51.511,41851000,2021-11-15
56.9,57.6,55.5,55.7,50.603,18406000,2021-11-16
56.1,57.1,55.7,56.2,51.057,13252000,2021-11-17
56.7,56.7,52.8,52.9,48.059,22058000,2021-11-18
